Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Away,123,111,12,67,61,6,45,53,26,27,12,4,0.7111111111111111,0.5471698113207547,51,51,12,7,0.2352941176470588,0.1372549019607843,8,10,19,14,0.4210526315789473,0.3846153846153846,0.7307692307692307,0.7368421052631579,0.1372549019607843,0.2352941176470588
Home,113,117,-4,69,57,12,45,47,25,24,4,9,0.6,0.6063829787234043,51,44,3,10,0.0588235294117647,0.2272727272727272,4,8,18,18,0.2,0.3478260869565217,0.782608695652174,0.9,0.196078431372549,0.0681818181818181
Away,116,105,11,54,46,8,41,38,23,16,3,6,0.5975609756097561,0.5,47,48,10,11,0.2127659574468085,0.2291666666666666,3,4,21,18,0.1666666666666666,0.1818181818181818,0.9545454545454546,1.0,0.2340425531914893,0.2083333333333333
Home,121,134,-13,57,63,-6,47,54,22,24,8,7,0.5531914893617021,0.5092592592592593,48,48,5,2,0.1041666666666666,0.0416666666666666,4,8,22,22,0.16,0.2666666666666666,0.7333333333333333,0.88,0.0416666666666666,0.1041666666666666
Home,94,98,-4,48,58,-10,45,41,18,20,4,6,0.4444444444444444,0.5609756097560976,40,44,8,7,0.2,0.1590909090909091,9,8,13,19,0.3333333333333333,0.3809523809523809,0.6190476190476191,0.7037037037037037,0.175,0.1818181818181818
Home,92,109,-17,38,61,-23,37,43,14,23,3,10,0.4189189189189189,0.6511627906976745,40,40,11,4,0.275,0.1,8,7,14,16,0.3478260869565217,0.35,0.7,0.6956521739130435,0.1,0.275
Away,129,114,15,79,58,21,52,50,29,19,8,5,0.6346153846153846,0.43,45,46,3,8,0.0666666666666666,0.1739130434782608,10,18,20,15,0.4347826086956521,0.5806451612903226,0.6451612903225806,0.6521739130434783,0.1777777777777777,0.0652173913043478
Away,127,106,21,53,44,9,46,43,22,18,4,3,0.5217391304347826,0.4534883720930232,51,51,8,10,0.1568627450980392,0.196078431372549,5,3,23,22,0.2083333333333333,0.12,0.92,0.9166666666666666,0.196078431372549,0.1568627450980392
Home,100,109,-9,53,48,5,49,40,21,19,4,7,0.4693877551020408,0.5625,49,48,7,12,0.1428571428571428,0.25,9,3,19,21,0.3214285714285714,0.1428571428571428,0.9047619047619048,0.75,0.2448979591836734,0.1458333333333333
Home,109,139,-30,41,57,-16,51,45,15,20,4,7,0.3333333333333333,0.5222222222222223,53,51,10,16,0.1886792452830188,0.3137254901960784,14,10,18,29,0.3888888888888889,0.4,0.72,0.8055555555555556,0.3018867924528302,0.196078431372549
Home,105,140,-35,57,72,-15,47,51,21,27,8,6,0.5319148936170213,0.5882352941176471,45,46,9,3,0.2,0.0652173913043478,13,10,16,18,0.5,0.4166666666666667,0.6666666666666666,0.6923076923076923,0.0666666666666666,0.1956521739130435
Away,108,99,9,61,49,12,47,39,26,18,6,3,0.6170212765957447,0.5,40,46,4,8,0.1,0.1739130434782608,5,9,18,17,0.238095238095238,0.4285714285714285,0.8571428571428571,0.8095238095238095,0.2,0.0869565217391304
Away,125,110,15,73,49,24,50,50,29,21,10,2,0.68,0.44,46,48,6,2,0.1304347826086956,0.0416666666666666,8,6,24,14,0.3809523809523809,0.2068965517241379,0.8275862068965517,0.6666666666666666,0.0434782608695652,0.125
Home,91,109,-18,50,41,9,55,37,22,16,2,3,0.4181818181818181,0.4729729729729729,44,46,2,11,0.0454545454545454,0.2391304347826087,11,5,18,23,0.3333333333333333,0.238095238095238,0.8571428571428571,0.696969696969697,0.25,0.0434782608695652
Away,111,103,8,51,42,9,45,47,22,18,4,3,0.5333333333333333,0.4148936170212766,44,47,9,5,0.2045454545454545,0.1063829787234042,7,10,22,16,0.3043478260869565,0.3448275862068966,0.7586206896551724,0.6956521739130435,0.1136363636363636,0.1914893617021276
Away,122,101,21,64,55,9,56,47,25,20,8,7,0.5178571428571429,0.5,51,50,2,6,0.0392156862745098,0.12,9,2,27,26,0.2903225806451613,0.074074074074074,1.0,0.8387096774193549,0.1176470588235294,0.04
Home,121,124,-3,60,55,5,40,48,21,22,4,3,0.575,0.4895833333333333,43,42,7,3,0.1627906976744186,0.0714285714285714,6,9,19,15,0.3157894736842105,0.3461538461538461,0.7307692307692307,0.7894736842105263,0.0697674418604651,0.1666666666666666
Away,127,116,11,55,66,-11,45,47,24,29,4,4,0.5777777777777777,0.6595744680851063,50,50,9,5,0.18,0.1,4,2,16,17,0.1904761904761904,0.1111111111111111,0.8888888888888888,0.8095238095238095,0.1,0.18
Home,86,108,-22,46,70,-24,48,38,16,25,7,9,0.40625,0.7763157894736842,46,50,4,11,0.0869565217391304,0.22,2,6,15,30,0.0625,0.4615384615384615,1.1538461538461535,0.9375,0.2391304347826087,0.08
Home,102,122,-20,59,60,-1,46,54,18,22,10,5,0.5,0.4537037037037037,47,46,6,8,0.1276595744680851,0.1739130434782608,10,15,19,23,0.3571428571428571,0.46875,0.59375,0.8214285714285714,0.1702127659574468,0.1304347826086956
Away,105,104,1,43,51,-8,45,48,16,20,3,8,0.3888888888888889,0.5,50,47,6,7,0.12,0.1489361702127659,8,5,23,26,0.2758620689655172,0.1785714285714285,0.8214285714285714,0.896551724137931,0.14,0.1276595744680851
Home,104,114,-10,52,66,-14,40,42,20,23,5,7,0.5625,0.6309523809523809,42,44,8,5,0.1904761904761904,0.1136363636363636,5,8,15,17,0.25,0.4210526315789473,0.7894736842105263,0.85,0.119047619047619,0.1818181818181818
Home,92,100,-8,45,46,-1,45,41,18,21,4,3,0.4444444444444444,0.5487804878048781,45,45,9,10,0.2,0.2222222222222222,10,8,17,21,0.3703703703703703,0.4,0.85,0.7777777777777778,0.2222222222222222,0.2
Away,117,110,7,63,52,11,41,41,23,17,3,5,0.5975609756097561,0.4756097560975609,44,46,10,5,0.2272727272727272,0.108695652173913,6,5,23,15,0.3333333333333333,0.2083333333333333,0.9583333333333334,0.8333333333333334,0.1136363636363636,0.217391304347826
Home,95,101,-6,49,40,9,49,44,21,15,3,4,0.4591836734693877,0.3863636363636363,46,46,4,7,0.0869565217391304,0.1521739130434782,8,6,25,22,0.2857142857142857,0.2068965517241379,0.8620689655172413,0.7857142857142857,0.1521739130434782,0.0869565217391304
Home,101,113,-12,37,55,-18,38,40,13,21,1,4,0.3552631578947368,0.575,41,40,5,5,0.1219512195121951,0.125,5,6,15,22,0.2,0.3157894736842105,0.7894736842105263,0.88,0.1219512195121951,0.125
Away,117,104,13,63,60,3,41,47,21,23,5,4,0.573170731707317,0.5319148936170213,48,44,8,6,0.1666666666666666,0.1363636363636363,7,7,20,15,0.35,0.2916666666666667,0.8333333333333334,0.75,0.125,0.1818181818181818
Home,112,115,-3,46,62,-16,46,39,17,23,4,9,0.4130434782608695,0.7051282051282052,45,43,5,8,0.1111111111111111,0.1860465116279069,10,2,14,23,0.3448275862068966,0.125,0.875,0.7931034482758621,0.1777777777777777,0.1162790697674418
Away,114,112,2,65,52,13,52,45,23,22,7,5,0.5096153846153846,0.5444444444444444,48,45,2,7,0.0416666666666666,0.1555555555555555,9,4,19,20,0.3103448275862069,0.1739130434782608,0.8260869565217391,0.6896551724137931,0.1458333333333333,0.0444444444444444
Home,99,128,-29,48,47,1,41,43,19,19,3,2,0.5,0.4651162790697674,42,43,10,5,0.238095238095238,0.1162790697674418,9,8,19,14,0.4090909090909091,0.3333333333333333,0.7916666666666666,0.6363636363636364,0.119047619047619,0.2325581395348837
Home,110,123,-13,51,56,-5,39,51,19,24,2,5,0.5128205128205128,0.5196078431372549,45,40,6,6,0.1333333333333333,0.15,7,12,15,16,0.35,0.4444444444444444,0.5555555555555556,0.8,0.1333333333333333,0.15
